"2020-03-25","covid","school","food","water","reopen"
"covid","141472","881","929","271","1740"
"school","881","1704","11","3","37"
"food","929","11","1784","14","21"
"water","271","3","14","558","7"
"reopen","1740","37","21","7","3464"
"","","","","",""
"2020-03-26","covid","school","food","water","reopen"
"covid","460495","2464","3542","946","5313"
"school","2464","5470","76","11","99"
"food","3542","76","6624","83","77"
"water","946","11","83","1982","13"
"reopen","5313","99","77","13","10681"
"","","","","",""
"2020-03-27","covid","school","food","water","reopen"
"covid","466953","2441","3714","883","5129"
"school","2441","5855","78","13","125"
"food","3714","78","6671","76","71"
"water","883","13","76","1811","15"
"reopen","5129","125","71","15","10113"
"","","","","",""
"2020-03-28","covid","school","food","water","reopen"
"covid","408989","1702","3283","865","4864"
"school","1702","4531","36","7","74"
"food","3283","36","5841","77","75"
"water","865","7","77","1709","18"
"reopen","4864","74","75","18","9240"
"","","","","",""
"2020-03-29","covid","school","food","water","reopen"
"covid","412136","2135","3176","795","5037"
"school","2135","5027","36","4","295"
"food","3176","36","5846","76","104"
"water","795","4","76","1609","11"
"reopen","5037","295","104","11","9925"
"","","","","",""
"2020-03-30","covid","school","food","water","reopen"
"covid","467816","2720","3873","1110","6107"
"school","2720","6931","99","8","248"
"food","3873","99","7221","69","118"
"water","1110","8","69","2234","25"
"reopen","6107","248","118","25","11500"
"","","","","",""
"2020-03-31","covid","school","food","water","reopen"
"covid","482488","2791","4377","1273","6364"
"school","2791","7292","158","7","229"
"food","4377","158","7808","76","122"
"water","1273","7","76","2470","36"
"reopen","6364","229","122","36","11656"
"","","","","",""
"2020-04-01","covid","school","food","water","reopen"
"covid","477859","2620","4046","953","6563"
"school","2620","7245","68","7","220"
"food","4046","68","7255","54","89"
"water","953","7","54","2015","31"
"reopen","6563","220","89","31","12376"
"","","","","",""
"2020-04-02","covid","school","food","water","reopen"
"covid","473347","2413","3954","969","5637"
"school","2413","6631","78","13","145"
"food","3954","78","7334","63","69"
"water","969","13","63","1918","14"
"reopen","5637","145","69","14","11147"
"","","","","",""
"2020-04-03","covid","school","food","water","reopen"
"covid","491106","2443","3914","1058","5870"
"school","2443","6254","71","9","159"
"food","3914","71","7392","65","64"
"water","1058","9","65","2067","20"
"reopen","5870","159","64","20","11702"
"","","","","",""
"2020-04-04","covid","school","food","water","reopen"
"covid","472663","1753","3210","851","5715"
"school","1753","4057","41","4","94"
"food","3210","41","6193","78","91"
"water","851","4","78","1741","24"
"reopen","5715","94","91","24","11171"
"","","","","",""
"2020-04-05","covid","school","food","water","reopen"
"covid","468091","1787","3006","955","5412"
"school","1787","3992","52","8","195"
"food","3006","52","5783","70","79"
"water","955","8","70","2093","20"
"reopen","5412","195","79","20","10886"
"","","","","",""
"2020-04-06","covid","school","food","water","reopen"
"covid","491993","2689","3554","1227","6159"
"school","2689","6383","93","3","190"
"food","3554","93","6483","77","68"
"water","1227","3","77","2714","26"
"reopen","6159","190","68","26","11629"
"","","","","",""
"2020-04-07","covid","school","food","water","reopen"
"covid","492167","3175","3783","944","6165"
"school","3175","6861","65","9","205"
"food","3783","65","6575","59","64"
"water","944","9","59","2002","24"
"reopen","6165","205","64","24","11689"
"","","","","",""
"2020-04-08","covid","school","food","water","reopen"
"covid","526129","2700","4003","1217","6785"
"school","2700","6228","66","0","219"
"food","4003","66","7389","58","80"
"water","1217","0","58","2246","12"
"reopen","6785","219","80","12","12919"
"","","","","",""
"2020-04-09","covid","school","food","water","reopen"
"covid","509885","2576","4410","1155","6416"
"school","2576","6793","59","10","274"
"food","4410","59","8136","82","82"
"water","1155","10","82","2177","11"
"reopen","6416","274","82","11","12791"
"","","","","",""
"2020-04-10","covid","school","food","water","reopen"
"covid","346908","1620","2848","800","5163"
"school","1620","3977","46","4","310"
"food","2848","46","5477","71","59"
"water","800","4","71","1426","11"
"reopen","5163","310","59","11","9659"
"","","","","",""
"2020-04-11","covid","school","food","water","reopen"
"covid","87542","403","893","153","1189"
"school","403","1210","10","1","91"
"food","893","10","1551","8","36"
"water","153","1","8","327","2"
"reopen","1189","91","36","2","2400"
"","","","","",""
"2020-04-12","covid","school","food","water","reopen"
"covid","70336","279","554","126","1015"
"school","279","683","8","2","43"
"food","554","8","1098","10","14"
"water","126","2","10","255","2"
